"","qseqid","diff_Tscore","diff_E_Value","diff_P_Ident","perc_diff_Tscore","Group"
"1","ENA|ABE97915|ABE97915.1",NA,NA,NA,NA,"aurantio_only"
"35","ENA|CAB5731019|CAB5731019.1",NA,NA,NA,NA,"aurantio_only"
"36","ENA|CAB5731045|CAB5731045.1",NA,NA,NA,NA,"aurantio_only"
"37","ENA|CAB5731073|CAB5731073.1",NA,NA,NA,NA,"aurantio_only"
"38","ENA|CAB5731213|CAB5731213.1",NA,NA,NA,NA,"aurantio_only"
"39","ENA|CAB5731276|CAB5731276.1",NA,NA,NA,NA,"aurantio_only"
"40","ENA|CAB5731300|CAB5731300.1",NA,NA,NA,NA,"aurantio_only"
"41","ENA|CAB5731430|CAB5731430.1",NA,NA,NA,NA,"aurantio_only"
"42","ENA|CAB5731442|CAB5731442.1",NA,NA,NA,NA,"aurantio_only"
"43","ENA|CAB5731447|CAB5731447.1",NA,NA,NA,NA,"aurantio_only"
"44","ENA|CAB5731529|CAB5731529.1",NA,NA,NA,NA,"aurantio_only"
"45","ENA|CAB5731608|CAB5731608.1",NA,NA,NA,NA,"aurantio_only"
"46","ENA|CAB5731750|CAB5731750.1",NA,NA,NA,NA,"aurantio_only"
"47","ENA|CAB5731828|CAB5731828.1",NA,NA,NA,NA,"aurantio_only"
"48","ENA|CAB5731911|CAB5731911.1",NA,NA,NA,NA,"aurantio_only"
"49","ENA|CAB5731968|CAB5731968.1",NA,NA,NA,NA,"aurantio_only"
"50","ENA|CAB5731980|CAB5731980.1",NA,NA,NA,NA,"aurantio_only"
"51","ENA|CAB5732028|CAB5732028.1",NA,NA,NA,NA,"aurantio_only"
"52","ENA|CAB5732050|CAB5732050.1",NA,NA,NA,NA,"aurantio_only"
"53","ENA|CAB5732065|CAB5732065.1",NA,NA,NA,NA,"aurantio_only"
"54","ENA|CAB5732153|CAB5732153.1",NA,NA,NA,NA,"aurantio_only"
"55","ENA|CAB5732180|CAB5732180.1",NA,NA,NA,NA,"aurantio_only"
"56","ENA|CAB5732286|CAB5732286.1",NA,NA,NA,NA,"aurantio_only"
"57","ENA|CAB5732331|CAB5732331.1",NA,NA,NA,NA,"aurantio_only"
"58","ENA|CAB5732334|CAB5732334.1",NA,NA,NA,NA,"aurantio_only"
"59","ENA|CAB5732465|CAB5732465.1",NA,NA,NA,NA,"aurantio_only"
"60","ENA|CAB5732656|CAB5732656.1",NA,NA,NA,NA,"aurantio_only"
"61","ENA|CAB5732702|CAB5732702.1",NA,NA,NA,NA,"aurantio_only"
"62","ENA|CAB5732754|CAB5732754.1",NA,NA,NA,NA,"aurantio_only"
"63","ENA|CAB5732951|CAB5732951.1",NA,NA,NA,NA,"aurantio_only"
"64","ENA|CAB5733085|CAB5733085.1",NA,NA,NA,NA,"aurantio_only"
"65","ENA|CAB5733135|CAB5733135.1",NA,NA,NA,NA,"aurantio_only"
"66","ENA|CAB5733160|CAB5733160.1",NA,NA,NA,NA,"aurantio_only"
"67","ENA|CAB5733228|CAB5733228.1",NA,NA,NA,NA,"aurantio_only"
"68","ENA|CAB5733249|CAB5733249.1",NA,NA,NA,NA,"aurantio_only"
"69","ENA|CAB5733287|CAB5733287.1",NA,NA,NA,NA,"aurantio_only"
"70","ENA|CAB5733319|CAB5733319.1",NA,NA,NA,NA,"aurantio_only"
"71","ENA|CAB5733329|CAB5733329.1",NA,NA,NA,NA,"aurantio_only"
"72","ENA|CAB5733366|CAB5733366.1",NA,NA,NA,NA,"aurantio_only"
"73","ENA|CAB5733675|CAB5733675.1",NA,NA,NA,NA,"aurantio_only"
"74","ENA|CAB5733771|CAB5733771.1",NA,NA,NA,NA,"aurantio_only"
"75","ENA|CAB5733790|CAB5733790.1",NA,NA,NA,NA,"aurantio_only"
"76","ENA|CAB5733902|CAB5733902.1",NA,NA,NA,NA,"aurantio_only"
"77","ENA|CAB5734203|CAB5734203.1",NA,NA,NA,NA,"aurantio_only"
"78","ENA|CAB5734368|CAB5734368.1",NA,NA,NA,NA,"aurantio_only"
"79","ENA|CAB5734852|CAB5734852.1",NA,NA,NA,NA,"aurantio_only"
"80","ENA|CAB5734956|CAB5734956.1",NA,NA,NA,NA,"aurantio_only"
"81","ENA|CAB5735024|CAB5735024.1",NA,NA,NA,NA,"aurantio_only"
"82","ENA|CAB5735165|CAB5735165.1",NA,NA,NA,NA,"aurantio_only"
"83","ENA|CAB5735195|CAB5735195.1",NA,NA,NA,NA,"aurantio_only"
"84","ENA|CAB5735263|CAB5735263.1",NA,NA,NA,NA,"aurantio_only"
"85","ENA|CAB5735295|CAB5735295.1",NA,NA,NA,NA,"aurantio_only"
"86","ENA|CAB5735478|CAB5735478.1",NA,NA,NA,NA,"aurantio_only"
"87","ENA|CAB5735491|CAB5735491.1",NA,NA,NA,NA,"aurantio_only"
"88","ENA|CAB5735496|CAB5735496.1",NA,NA,NA,NA,"aurantio_only"
"89","ENA|CAB5735554|CAB5735554.1",NA,NA,NA,NA,"aurantio_only"
"90","ENA|CAB5735601|CAB5735601.1",NA,NA,NA,NA,"aurantio_only"
"91","ENA|CAB5735636|CAB5735636.1",NA,NA,NA,NA,"aurantio_only"
"92","ENA|CAB5735649|CAB5735649.1",NA,NA,NA,NA,"aurantio_only"
"93","ENA|CAB5735670|CAB5735670.1",NA,NA,NA,NA,"aurantio_only"
"94","ENA|CAB5735866|CAB5735866.1",NA,NA,NA,NA,"aurantio_only"
"95","ENA|CAB5735956|CAB5735956.1",NA,NA,NA,NA,"aurantio_only"
"96","ENA|CAB5736021|CAB5736021.1",NA,NA,NA,NA,"aurantio_only"
"97","ENA|CAB5736083|CAB5736083.1",NA,NA,NA,NA,"aurantio_only"
"98","ENA|CAB5736261|CAB5736261.1",NA,NA,NA,NA,"aurantio_only"
"99","ENA|CAB5736344|CAB5736344.1",NA,NA,NA,NA,"aurantio_only"
"100","ENA|CAB5736674|CAB5736674.1",NA,NA,NA,NA,"aurantio_only"
"101","ENA|CAB5736812|CAB5736812.1",NA,NA,NA,NA,"aurantio_only"
"102","ENA|CAB5736884|CAB5736884.1",NA,NA,NA,NA,"aurantio_only"
"103","ENA|CAB5736923|CAB5736923.1",NA,NA,NA,NA,"aurantio_only"
"104","ENA|CAB5737147|CAB5737147.1",NA,NA,NA,NA,"aurantio_only"
"105","ENA|CAB5737184|CAB5737184.1",NA,NA,NA,NA,"aurantio_only"
"106","ENA|CAB5737353|CAB5737353.1",NA,NA,NA,NA,"aurantio_only"
"107","ENA|CAB5737390|CAB5737390.1",NA,NA,NA,NA,"aurantio_only"
"108","ENA|CAB5737531|CAB5737531.1",NA,NA,NA,NA,"aurantio_only"
"109","ENA|CAB5737592|CAB5737592.1",NA,NA,NA,NA,"aurantio_only"
"110","ENA|CAB5737762|CAB5737762.1",NA,NA,NA,NA,"aurantio_only"
"111","ENA|CAB5737806|CAB5737806.1",NA,NA,NA,NA,"aurantio_only"
"112","ENA|CAB5737907|CAB5737907.1",NA,NA,NA,NA,"aurantio_only"
"113","ENA|CAB5737914|CAB5737914.1",NA,NA,NA,NA,"aurantio_only"
"114","ENA|CAB5737918|CAB5737918.1",NA,NA,NA,NA,"aurantio_only"
"115","ENA|CAB5737931|CAB5737931.1",NA,NA,NA,NA,"aurantio_only"
"116","ENA|CAB5737936|CAB5737936.1",NA,NA,NA,NA,"aurantio_only"
"117","ENA|CAB5737956|CAB5737956.1",NA,NA,NA,NA,"aurantio_only"
"118","ENA|CAB5738005|CAB5738005.1",NA,NA,NA,NA,"aurantio_only"
"119","ENA|CAB5738258|CAB5738258.1",NA,NA,NA,NA,"aurantio_only"
"120","ENA|CAB5738264|CAB5738264.1",NA,NA,NA,NA,"aurantio_only"
"121","ENA|CAB5738295|CAB5738295.1",NA,NA,NA,NA,"aurantio_only"
"122","ENA|CAB5738300|CAB5738300.1",NA,NA,NA,NA,"aurantio_only"
"123","ENA|CAB5738432|CAB5738432.1",NA,NA,NA,NA,"aurantio_only"
"124","ENA|CAB5738451|CAB5738451.1",NA,NA,NA,NA,"aurantio_only"
"125","ENA|CAB5738467|CAB5738467.1",NA,NA,NA,NA,"aurantio_only"
"126","ENA|CAB5738504|CAB5738504.1",NA,NA,NA,NA,"aurantio_only"
"127","ENA|CAB5738540|CAB5738540.1",NA,NA,NA,NA,"aurantio_only"
"128","ENA|CAB5738630|CAB5738630.1",NA,NA,NA,NA,"aurantio_only"
"129","ENA|CAB5738671|CAB5738671.1",NA,NA,NA,NA,"aurantio_only"
"130","ENA|CAB5738874|CAB5738874.1",NA,NA,NA,NA,"aurantio_only"
"131","ENA|CAB5739271|CAB5739271.1",NA,NA,NA,NA,"aurantio_only"
"132","ENA|CAB5739309|CAB5739309.1",NA,NA,NA,NA,"aurantio_only"
"133","ENA|CAB5739467|CAB5739467.1",NA,NA,NA,NA,"aurantio_only"
"134","ENA|CAB5739634|CAB5739634.1",NA,NA,NA,NA,"aurantio_only"
"135","ENA|CAB5739799|CAB5739799.1",NA,NA,NA,NA,"aurantio_only"
"136","ENA|CAB5739834|CAB5739834.1",NA,NA,NA,NA,"aurantio_only"
"137","ENA|CAB5739839|CAB5739839.1",NA,NA,NA,NA,"aurantio_only"
"138","ENA|CAB5739848|CAB5739848.1",NA,NA,NA,NA,"aurantio_only"
"139","ENA|CAB5739853|CAB5739853.1",NA,NA,NA,NA,"aurantio_only"
"140","ENA|CAB5739962|CAB5739962.1",NA,NA,NA,NA,"aurantio_only"
"141","ENA|CAB5740054|CAB5740054.1",NA,NA,NA,NA,"aurantio_only"
"142","ENA|CAB5740076|CAB5740076.1",NA,NA,NA,NA,"aurantio_only"
"143","ENA|CAB5740094|CAB5740094.1",NA,NA,NA,NA,"aurantio_only"
"144","ENA|CAB5740123|CAB5740123.1",NA,NA,NA,NA,"aurantio_only"
"145","ENA|CAB5740151|CAB5740151.1",NA,NA,NA,NA,"aurantio_only"
"146","ENA|CAB5740235|CAB5740235.1",NA,NA,NA,NA,"aurantio_only"
"147","ENA|CAB5740269|CAB5740269.1",NA,NA,NA,NA,"aurantio_only"
"148","ENA|CAB5740328|CAB5740328.1",NA,NA,NA,NA,"aurantio_only"
"149","ENA|CAB5740352|CAB5740352.1",NA,NA,NA,NA,"aurantio_only"
"150","ENA|CAB5740445|CAB5740445.1",NA,NA,NA,NA,"aurantio_only"
"151","ENA|CAB5740466|CAB5740466.1",NA,NA,NA,NA,"aurantio_only"
"152","ENA|CAB5740502|CAB5740502.1",NA,NA,NA,NA,"aurantio_only"
"153","ENA|CAB5740574|CAB5740574.1",NA,NA,NA,NA,"aurantio_only"
"154","ENA|CAB5740752|CAB5740752.1",NA,NA,NA,NA,"aurantio_only"
"155","ENA|CAB5740841|CAB5740841.1",NA,NA,NA,NA,"aurantio_only"
"156","ENA|CAB5740880|CAB5740880.1",NA,NA,NA,NA,"aurantio_only"
"157","ENA|CAB5740895|CAB5740895.1",NA,NA,NA,NA,"aurantio_only"
"158","ENA|CAB5741105|CAB5741105.1",NA,NA,NA,NA,"aurantio_only"
"159","ENA|CAB5741150|CAB5741150.1",NA,NA,NA,NA,"aurantio_only"
"160","ENA|CAB5741186|CAB5741186.1",NA,NA,NA,NA,"aurantio_only"
"161","ENA|CAB5741190|CAB5741190.1",NA,NA,NA,NA,"aurantio_only"
"162","ENA|CAB5741677|CAB5741677.1",NA,NA,NA,NA,"aurantio_only"
"163","ENA|CAB5741732|CAB5741732.1",NA,NA,NA,NA,"aurantio_only"
"164","ENA|CAB5741784|CAB5741784.1",NA,NA,NA,NA,"aurantio_only"
"165","ENA|CAB5741844|CAB5741844.1",NA,NA,NA,NA,"aurantio_only"
"166","ENA|CAB5741864|CAB5741864.1",NA,NA,NA,NA,"aurantio_only"
"167","ENA|CAB5741941|CAB5741941.1",NA,NA,NA,NA,"aurantio_only"
"168","ENA|CAB5741949|CAB5741949.1",NA,NA,NA,NA,"aurantio_only"
"169","ENA|CAB5741963|CAB5741963.1",NA,NA,NA,NA,"aurantio_only"
"170","ENA|CAB5742169|CAB5742169.1",NA,NA,NA,NA,"aurantio_only"
"171","ENA|CAB5742303|CAB5742303.1",NA,NA,NA,NA,"aurantio_only"
"172","ENA|CAB5742392|CAB5742392.1",NA,NA,NA,NA,"aurantio_only"
"173","ENA|CAB5742396|CAB5742396.1",NA,NA,NA,NA,"aurantio_only"
"174","ENA|CAB5742400|CAB5742400.1",NA,NA,NA,NA,"aurantio_only"
"175","ENA|CAB5742455|CAB5742455.1",NA,NA,NA,NA,"aurantio_only"
"176","ENA|CAB5742504|CAB5742504.1",NA,NA,NA,NA,"aurantio_only"
"177","ENA|CAB5742514|CAB5742514.1",NA,NA,NA,NA,"aurantio_only"
"178","ENA|CAB5742622|CAB5742622.1",NA,NA,NA,NA,"aurantio_only"
"179","ENA|CAB5742683|CAB5742683.1",NA,NA,NA,NA,"aurantio_only"
"180","ENA|CAB5742943|CAB5742943.1",NA,NA,NA,NA,"aurantio_only"
"181","ENA|CAB5742984|CAB5742984.1",NA,NA,NA,NA,"aurantio_only"
"182","ENA|CAB5743089|CAB5743089.1",NA,NA,NA,NA,"aurantio_only"
"183","ENA|CAB5743093|CAB5743093.1",NA,NA,NA,NA,"aurantio_only"
"184","ENA|CAB5743165|CAB5743165.1",NA,NA,NA,NA,"aurantio_only"
"185","ENA|CAB5743234|CAB5743234.1",NA,NA,NA,NA,"aurantio_only"
"186","ENA|CAB5743238|CAB5743238.1",NA,NA,NA,NA,"aurantio_only"
"187","ENA|CAB5743301|CAB5743301.1",NA,NA,NA,NA,"aurantio_only"
"188","ENA|CAB5743374|CAB5743374.1",NA,NA,NA,NA,"aurantio_only"
"189","ENA|CAB5743385|CAB5743385.1",NA,NA,NA,NA,"aurantio_only"
"190","ENA|CAB5743389|CAB5743389.1",NA,NA,NA,NA,"aurantio_only"
"191","ENA|CAB5743439|CAB5743439.1",NA,NA,NA,NA,"aurantio_only"
"192","ENA|CAB5743485|CAB5743485.1",NA,NA,NA,NA,"aurantio_only"
"193","ENA|CAB5743581|CAB5743581.1",NA,NA,NA,NA,"aurantio_only"
"194","ENA|CAB5743586|CAB5743586.1",NA,NA,NA,NA,"aurantio_only"
"195","ENA|CAB5743728|CAB5743728.1",NA,NA,NA,NA,"aurantio_only"
"196","ENA|CAB5743773|CAB5743773.1",NA,NA,NA,NA,"aurantio_only"
"197","ENA|CAB5743784|CAB5743784.1",NA,NA,NA,NA,"aurantio_only"
"198","ENA|CAB5743790|CAB5743790.1",NA,NA,NA,NA,"aurantio_only"
"199","ENA|CAB5743890|CAB5743890.1",NA,NA,NA,NA,"aurantio_only"
"200","ENA|CAB5744041|CAB5744041.1",NA,NA,NA,NA,"aurantio_only"
"201","ENA|CAB5744158|CAB5744158.1",NA,NA,NA,NA,"aurantio_only"
"202","ENA|CAB5744362|CAB5744362.1",NA,NA,NA,NA,"aurantio_only"
"203","ENA|CAB5744460|CAB5744460.1",NA,NA,NA,NA,"aurantio_only"
"204","ENA|CAB5744465|CAB5744465.1",NA,NA,NA,NA,"aurantio_only"
"205","ENA|CAB5744538|CAB5744538.1",NA,NA,NA,NA,"aurantio_only"
"206","ENA|CAB5744613|CAB5744613.1",NA,NA,NA,NA,"aurantio_only"
"207","ENA|CAB5744774|CAB5744774.1",NA,NA,NA,NA,"aurantio_only"
"208","ENA|CAB5744782|CAB5744782.1",NA,NA,NA,NA,"aurantio_only"
"209","ENA|CAB5744919|CAB5744919.1",NA,NA,NA,NA,"aurantio_only"
"210","ENA|CAB5744925|CAB5744925.1",NA,NA,NA,NA,"aurantio_only"
"211","ENA|CAB5744937|CAB5744937.1",NA,NA,NA,NA,"aurantio_only"
"212","ENA|CAB5745154|CAB5745154.1",NA,NA,NA,NA,"aurantio_only"
"213","ENA|CAB5745181|CAB5745181.1",NA,NA,NA,NA,"aurantio_only"
"214","ENA|CAB5745236|CAB5745236.1",NA,NA,NA,NA,"aurantio_only"
"215","ENA|CAB5745343|CAB5745343.1",NA,NA,NA,NA,"aurantio_only"
"216","ENA|CAB5745395|CAB5745395.1",NA,NA,NA,NA,"aurantio_only"
"217","ENA|CAB5745560|CAB5745560.1",NA,NA,NA,NA,"aurantio_only"
"218","ENA|CAB5745645|CAB5745645.1",NA,NA,NA,NA,"aurantio_only"
"219","ENA|CAB5745808|CAB5745808.1",NA,NA,NA,NA,"aurantio_only"
"220","ENA|CAB5745839|CAB5745839.1",NA,NA,NA,NA,"aurantio_only"
"221","ENA|CAB5745877|CAB5745877.1",NA,NA,NA,NA,"aurantio_only"
"222","ENA|CAB5745913|CAB5745913.1",NA,NA,NA,NA,"aurantio_only"
"223","ENA|CAB5745917|CAB5745917.1",NA,NA,NA,NA,"aurantio_only"
"224","ENA|CAB5745921|CAB5745921.1",NA,NA,NA,NA,"aurantio_only"
"225","ENA|CAB5746066|CAB5746066.1",NA,NA,NA,NA,"aurantio_only"
"226","ENA|CAB5746117|CAB5746117.1",NA,NA,NA,NA,"aurantio_only"
"227","ENA|CAB5746153|CAB5746153.1",NA,NA,NA,NA,"aurantio_only"
"228","ENA|CAB5746304|CAB5746304.1",NA,NA,NA,NA,"aurantio_only"
"229","ENA|CAB5746354|CAB5746354.1",NA,NA,NA,NA,"aurantio_only"
"230","ENA|CAB5746458|CAB5746458.1",NA,NA,NA,NA,"aurantio_only"
"231","ENA|CAB5746590|CAB5746590.1",NA,NA,NA,NA,"aurantio_only"
"232","ENA|CAB5746687|CAB5746687.1",NA,NA,NA,NA,"aurantio_only"
"233","ENA|CAB5746894|CAB5746894.1",NA,NA,NA,NA,"aurantio_only"
"234","ENA|CAB5747018|CAB5747018.1",NA,NA,NA,NA,"aurantio_only"
"235","ENA|CAB5747063|CAB5747063.1",NA,NA,NA,NA,"aurantio_only"
"236","ENA|CAB5747285|CAB5747285.1",NA,NA,NA,NA,"aurantio_only"
"237","ENA|CAB5747333|CAB5747333.1",NA,NA,NA,NA,"aurantio_only"
"238","ENA|CAB5747469|CAB5747469.1",NA,NA,NA,NA,"aurantio_only"
"239","ENA|CAB5747660|CAB5747660.1",NA,NA,NA,NA,"aurantio_only"
"240","ENA|CAB5747722|CAB5747722.1",NA,NA,NA,NA,"aurantio_only"
"241","ENA|CAB5747776|CAB5747776.1",NA,NA,NA,NA,"aurantio_only"
"242","ENA|CAB5747797|CAB5747797.1",NA,NA,NA,NA,"aurantio_only"
"243","ENA|CAB5747804|CAB5747804.1",NA,NA,NA,NA,"aurantio_only"
"244","ENA|CAB5747843|CAB5747843.1",NA,NA,NA,NA,"aurantio_only"
"245","ENA|CAB5747878|CAB5747878.1",NA,NA,NA,NA,"aurantio_only"
"246","ENA|CAB5747916|CAB5747916.1",NA,NA,NA,NA,"aurantio_only"
"247","ENA|CAB5748051|CAB5748051.1",NA,NA,NA,NA,"aurantio_only"
"248","ENA|CAB5748126|CAB5748126.1",NA,NA,NA,NA,"aurantio_only"
"249","ENA|CAB5748156|CAB5748156.1",NA,NA,NA,NA,"aurantio_only"
"250","ENA|CAB5748224|CAB5748224.1",NA,NA,NA,NA,"aurantio_only"
"251","ENA|CAB5748309|CAB5748309.1",NA,NA,NA,NA,"aurantio_only"
"252","ENA|CAB5748482|CAB5748482.1",NA,NA,NA,NA,"aurantio_only"
"253","ENA|CAB5748505|CAB5748505.1",NA,NA,NA,NA,"aurantio_only"
"254","ENA|CAB5748679|CAB5748679.1",NA,NA,NA,NA,"aurantio_only"
"255","ENA|CAB5748940|CAB5748940.1",NA,NA,NA,NA,"aurantio_only"
"256","ENA|CAB5748977|CAB5748977.1",NA,NA,NA,NA,"aurantio_only"
"257","ENA|CAB5749005|CAB5749005.1",NA,NA,NA,NA,"aurantio_only"
"258","ENA|CAB5749100|CAB5749100.1",NA,NA,NA,NA,"aurantio_only"
"259","ENA|CAB5749105|CAB5749105.1",NA,NA,NA,NA,"aurantio_only"
"260","ENA|CAB5749262|CAB5749262.1",NA,NA,NA,NA,"aurantio_only"
"261","ENA|CAB5749264|CAB5749264.1",NA,NA,NA,NA,"aurantio_only"
"262","ENA|CAB5749691|CAB5749691.1",NA,NA,NA,NA,"aurantio_only"
"263","ENA|CAB5749878|CAB5749878.1",NA,NA,NA,NA,"aurantio_only"
"264","ENA|CAB5750005|CAB5750005.1",NA,NA,NA,NA,"aurantio_only"
"265","ENA|CAB5750046|CAB5750046.1",NA,NA,NA,NA,"aurantio_only"
"266","ENA|CAB5750171|CAB5750171.1",NA,NA,NA,NA,"aurantio_only"
"267","ENA|CAB5750289|CAB5750289.1",NA,NA,NA,NA,"aurantio_only"
"268","ENA|CAB5750300|CAB5750300.1",NA,NA,NA,NA,"aurantio_only"
"269","ENA|CAB5750306|CAB5750306.1",NA,NA,NA,NA,"aurantio_only"
"270","ENA|CAB5750313|CAB5750313.1",NA,NA,NA,NA,"aurantio_only"
"271","ENA|CAB5750325|CAB5750325.1",NA,NA,NA,NA,"aurantio_only"
"272","ENA|CAB5750351|CAB5750351.1",NA,NA,NA,NA,"aurantio_only"
"273","ENA|CAB5750463|CAB5750463.1",NA,NA,NA,NA,"aurantio_only"
"274","ENA|CAB5750494|CAB5750494.1",NA,NA,NA,NA,"aurantio_only"
"275","ENA|CAB5750535|CAB5750535.1",NA,NA,NA,NA,"aurantio_only"
"276","ENA|CAB5750595|CAB5750595.1",NA,NA,NA,NA,"aurantio_only"
"277","ENA|CAB5750599|CAB5750599.1",NA,NA,NA,NA,"aurantio_only"
"278","ENA|CAB5750604|CAB5750604.1",NA,NA,NA,NA,"aurantio_only"
"279","ENA|CAB5750821|CAB5750821.1",NA,NA,NA,NA,"aurantio_only"
"280","ENA|CAB5750830|CAB5750830.1",NA,NA,NA,NA,"aurantio_only"
"281","ENA|CAB5750835|CAB5750835.1",NA,NA,NA,NA,"aurantio_only"
"282","ENA|CAB5750857|CAB5750857.1",NA,NA,NA,NA,"aurantio_only"
"283","ENA|CAB5750862|CAB5750862.1",NA,NA,NA,NA,"aurantio_only"
"284","ENA|CAB5751071|CAB5751071.1",NA,NA,NA,NA,"aurantio_only"
"285","ENA|CAB5751108|CAB5751108.1",NA,NA,NA,NA,"aurantio_only"
"286","ENA|CAB5751290|CAB5751290.1",NA,NA,NA,NA,"aurantio_only"
"287","ENA|CAB5751297|CAB5751297.1",NA,NA,NA,NA,"aurantio_only"
"288","ENA|CAB5751485|CAB5751485.1",NA,NA,NA,NA,"aurantio_only"
"289","ENA|CAB5751523|CAB5751523.1",NA,NA,NA,NA,"aurantio_only"
"290","ENA|CAB5751559|CAB5751559.1",NA,NA,NA,NA,"aurantio_only"
"291","ENA|CAB5751562|CAB5751562.1",NA,NA,NA,NA,"aurantio_only"
"292","ENA|CAB5751579|CAB5751579.1",NA,NA,NA,NA,"aurantio_only"
"293","ENA|CAB5751753|CAB5751753.1",NA,NA,NA,NA,"aurantio_only"
"294","ENA|CAB5751777|CAB5751777.1",NA,NA,NA,NA,"aurantio_only"
"295","ENA|CAB5751800|CAB5751800.1",NA,NA,NA,NA,"aurantio_only"
"296","ENA|CAB5751832|CAB5751832.1",NA,NA,NA,NA,"aurantio_only"
"297","ENA|CAB5751874|CAB5751874.1",NA,NA,NA,NA,"aurantio_only"
"298","ENA|CAB5751879|CAB5751879.1",NA,NA,NA,NA,"aurantio_only"
"299","ENA|CAB5751901|CAB5751901.1",NA,NA,NA,NA,"aurantio_only"
"300","ENA|CAB5751906|CAB5751906.1",NA,NA,NA,NA,"aurantio_only"
"301","ENA|CAB5751915|CAB5751915.1",NA,NA,NA,NA,"aurantio_only"
"302","ENA|CAB5752216|CAB5752216.1",NA,NA,NA,NA,"aurantio_only"
"303","ENA|CAB5752265|CAB5752265.1",NA,NA,NA,NA,"aurantio_only"
"304","ENA|CAB5752329|CAB5752329.1",NA,NA,NA,NA,"aurantio_only"
"305","ENA|CAB5752367|CAB5752367.1",NA,NA,NA,NA,"aurantio_only"
"306","ENA|CAB5752437|CAB5752437.1",NA,NA,NA,NA,"aurantio_only"
"307","ENA|CAB5752688|CAB5752688.1",NA,NA,NA,NA,"aurantio_only"
"308","ENA|CAB5752787|CAB5752787.1",NA,NA,NA,NA,"aurantio_only"
"309","ENA|CAB5752797|CAB5752797.1",NA,NA,NA,NA,"aurantio_only"
"310","ENA|CAB5752803|CAB5752803.1",NA,NA,NA,NA,"aurantio_only"
"311","ENA|CAB5752933|CAB5752933.1",NA,NA,NA,NA,"aurantio_only"
"312","ENA|CAB5752939|CAB5752939.1",NA,NA,NA,NA,"aurantio_only"
"313","ENA|CAB5752943|CAB5752943.1",NA,NA,NA,NA,"aurantio_only"
"314","ENA|CAB5752956|CAB5752956.1",NA,NA,NA,NA,"aurantio_only"
"315","ENA|CAB5753103|CAB5753103.1",NA,NA,NA,NA,"aurantio_only"
